word,score
매우 상서로운,2
매우 상서롭다,2
매우 설레거나,2
매우 섬세하고,2
매우 소중하게,2
매우 씩씩하고,2
매우 아담하고,2
매우 아름다운,2
매우 아름다움,2
매우 아름답게,2
매우 아름답고,2
매우 아름답다,2
매우 어질고,2
매우 여유로운,2
매우 온전하게,2
매우 온전하다,2
매우 용감하고,2
매우 원만하다,2
매우 원만한,2
매우 익살맞다,2
매우 잘된,2
매우 정겹고,2
매우 정답게,2
매우 정돈되어,2
매우 좋다,2
매우 좋아지다,2
매우 좋음,2
매우 중요하고,2
매우 즐거운,2
매우 즐겁고,2
매우 포근하게,2
매우 포근하고,2
매우 푸근하게,2
매우 필요하고,2
매우 화려하고,2
매우 후련하다,2
매우 후련한,2
매우 훌륭하게,2
매우 훤하고,2
매우 흐뭇하고,2
매우 흥이,2
맵시 있고,2
맵시가 있게,2
맵시가 있는,2
맵시가 있다,2
멀끔하게,2
멀끔하게 번듯이,2
멀끔하다,2
멀끔한,2
멀끔한 모양,2
멀끔히,2
멀끔히 가다듬어,2
멋,2
멋들어지게,2
멋스러운,2
멋스러운 경치를,2
멋스럽다,2
멋을,2
멋이 있는,2
멋이 있다,2
멋이나,2
멋있거나,2
멋있는,2
멋있다,2
멋쟁이,2
멋지게,2
멋지고,2
멋지고 부드러운,2
멋지고 훌륭한,2
멋지다,2
명랑하고,2
명랑하고 천진하게,2
명랑하다,2
명량하고,2
명량하다,2
명량한,2
명망이 높은,2
명성,2
명예,2
명예로운,2
명쾌하다,2
모범으로,2
모범으로 삼아,2
모범이 될,2
모양이 아름다워,2
목적을 달성한,2
목적을 이룸,2
몸가짐을 점잖고,2
몸을 튼튼하게,2
몸이 건강하고,2
몸이 실하고,2
몸이 회복되다,2
몹시 대단하고,2
몹시 따뜻하다,2
몹시 만족스러운,2
몹시 많거나,2
몹시 반드러운,2
몹시 반드럽다,2
몹시 번드럽다,2
몹시 사랑스럽다,2
몹시 사랑하거나,2
몹시 사랑하고,2
몹시 설레어,2
몹시 아끼고,2
몹시 야무지고,2
몹시 즐겨서,2
몹시 즐기는,2
무엇을 좋아하여,2
무엇이 훌륭하거나,2
무탈하다,2
무해하다,2
문제의 아름다움과,2
문학에 뛰어나고,2
물건이 귀엽게,2
물질적인 이득이나,2
미소,2
미인,2
믿을 만하고,2
믿음성,2
믿음성 있게,2
믿음직스러운,2
믿음직스러워,2
믿음직스럽게,2
믿음직스럽고,2
믿음직스럽다,2
믿음직하고,2
믿음직할,2
믿음직할 정도로,2
바람직스럽다,2
바람직하다,2
바람직한,2
바르거나,2
바르거나 옳게,2
바르게,2
바르고,2
바르고 곧게,2
바르고 곧다,2
바르다,2
바르며,2
바르며 상냥하게,2
바르며 상냥하다,2
바른,2
바른 도리,2
바른 말이나,2
바른 일과,2
바른 정치,2
바른 지혜로써,2
바를 이루어,2
반가운,2
반가운 비,2
반갑다,2
반기다,2
반드러운,2
반드러운 모양,2
반드럽게,2
반드럽다,2
반드르르하다,2
반듯하고 의젓한,2
받들어 공경하다,2
발랄하다,2
밝게,2
밝게 통달하는,2
밝고,2
밝고 강렬하게,2
밝고 경쾌하다,2
밝고 똑똑하다,2
밝고 똑똑한,2
밝고 보드랍게,2
밝고 선명하다,2
밝고 어질다,2
밝고 큰 덕,2
밝고 환함,2
밝고 활기가,2
밝다,2
밝아서,2
밝은,2
밝은 마음,2
밝은 빛이,2
밝은 사람,2
밝은 재주,2
밝은 지혜와,2
방긋,2
방긋 웃는,2
방긋 웃다,2
방긋방긋,2
방긋방긋 웃는,2
방긋방긋 웃다,2
방면에 능하고,2
버젓하고 당당하게,2
버젓하고 당당하다,2
번창한,2
번창한 집안,2
벙긋,2
벙긋 웃는,2
벙긋 웃다,2
벙긋벙긋,2
벙긋벙긋 웃는,2
벙긋벙긋 웃다,2
베푸는 마음이,2
베푸는 사랑,2
베푸는 사랑과,2
베푸는 정,2
병에서 벗어나,2
보고 즐기다,2
보기 좋게,2
보기 좋을,2
보기 좋을 정도로,2
보기에 사랑스럽거나,2
보기에 좋고,2
보기에 좋다,2
보기에 좋아지다,2
보드랍게 웃다,2
보드랍고 따뜻하다,2
보드랍고 따뜻하여,2
보드랍고 탐스럽게,2
보람 있는,2
복된,2
복된 좋은,2
복리,2
복스러운 모양,2
복스럽고,2
복스럽고 탐스러운,2
복스럽고 탐스럽다,2
복을,2
복을 쌓은,2
복이 되게,2
복이 됨,2
복이나,2
복이나 재주,2
본받아 따르다,2
부귀한,2
부귀한 몸이,2
부담이 없이,2
부드럽게 웃는,2
부드럽게 웃다,2
부드럽고 너그러운,2
부드럽고 너그럽다,2
부드럽고 따뜻하게,2
부드럽고 따뜻하다,2
부드럽고 따뜻하며,2
부드럽고 따뜻하여,2
부드럽고 따뜻한,2
부드럽고 영리한,2
부드럽고 온화하게,2
부드럽고 조용하며,2
부지런,2
부지런스럽다,2
부지런스레,2
부지런하고,2
부지런하다,2
부지런히,2
분위기를 좋게,2
분위기에 어울리게,2
빛나고 아름다운,2
빛나는 재주,2
빛나며 곱고,2
빠르고 시원스러운,2
빼어나게,2
빼어나게 아름다운,2
빼어나게 좋음,2
빼어나다,2
빼어난,2
빼어난 능력,2
뿌듯하다,2
뿌듯함,2
사람됨이 야무지다,2
사람됨이 좋은,2
사람들과 어울려,2
사람에게 베풀거나,2
사람을 감동시킬,2
사람을 구원하다,2
사람을 귀엽게,2
사람을 소중하게,2
사람을 아끼고,2
사람을 아끼어,2
사람의 업적과,2
사람의 착함을,2
사람이 좋아하여,2
사랑,2
사랑겹다,2
사랑과 은혜,2
사랑과 은혜를,2
사랑꾼,2
사랑둥이,2
사랑받고,2
사랑받고 칭찬받다,2
사랑받다,2
사랑스러운,2
사랑스러움,2
사랑스럽거나,2
사랑스럽거나 귀엽다,2
사랑스럽게,2
사랑스럽게 부르는,2
사랑스럽게 이르는,2
사랑스럽다,2
